                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                         "15140"          1.5000000000000000E+000          1.3500000000000001E+000          5.2000000000000002E-001                       "gfortran"                         "10.2.0"            "x86_64-linux-21.4.1"                       "20220830" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                               5          2.2290276572865732E+003          5.1999992463250544E-001          3.8582313407856148E+000          1.7781239088066269E+002          1.9756932320073631E+002          1.4972819432368636E+000          1.4269121354442935E+000         -9.4488788020498839E-003         -1.0000000000000000E+000          1.5000000000000000E+000          1.3500000000000001E+000         -2.5387430603527797E+001         -2.5387430603527797E+001         -2.5989490594855759E+001         -9.8999999999999986E+001         -2.5512369340136097E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          2.5000000000000000E-001          1.4235392919178832E+052         -9.7770898408528456E+033          0.0000000000000000E+000         -9.7770898408528398E+033         -5.4051628917870787E+018          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              10          6.3474396821257997E+003          5.1999978538143521E-001          3.8582306519869674E+000          1.7781240675282535E+002          1.9756934083647258E+002          1.4972816759315393E+000          1.4269118807018837E+000         -9.4521507405746844E-003         -1.0000000000000000E+000          1.5000000000000000E+000          1.3500000000000001E+000         -2.5180567083586908E+001         -2.5180567083586908E+001         -2.5782627074914870E+001         -9.8999999999999986E+001         -2.5305505820195208E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          2.5000000000000000E-001          1.4235391648477447E+052         -9.7770949318226551E+033          0.0000000000000000E+000         -9.7770949318226459E+033         -8.7030659427457823E+018          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              15          1.6595366691773743E+004          5.1999943887997702E-001          3.8582289380340860E+000          1.7781244624789656E+002          1.9756938471988502E+002          1.4972810107898014E+000          1.4269112468207217E+000         -9.5299360921364332E-003         -1.0000000000000000E+000          1.5000000000000000E+000          1.3500000000000001E+000         -2.5357582428664152E+001         -2.5357582428664152E+001         -2.5959642419992115E+001         -9.8999999999999986E+001         -2.5482521165272452E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          2.5000000000000000E-001          1.4235388486562639E+052         -9.7771075998082495E+033          0.0000000000000000E+000         -9.7771075998082438E+033         -5.7897105032070717E+018          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              20          4.2095488428420911E+004          5.1999857667201099E-001          3.8582246731619909E+000          1.7781254452459044E+002          1.9756949391621157E+002          1.4972793557008721E+000          1.4269096695182713E+000         -9.4531793402780513E-003         -1.0000000000000000E+000          1.5000000000000000E+000          1.3500000000000001E+000         -2.5278385656388728E+001         -2.5278385656388728E+001         -2.5880445647716691E+001         -9.8999999999999986E+001         -2.5403324392997028E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          2.5000000000000000E-001          1.4235380618687397E+052         -9.7771391219563447E+033          0.0000000000000000E+000         -9.7771391219563378E+033         -6.9478977899944202E+018          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              25          1.0554795134815479E+005          5.1999643121366124E-001          3.8582140607405937E+000          1.7781278907042500E+002          1.9756976563380550E+002          1.4972752372886964E+000          1.4269057446647464E+000         -9.2064889830377420E-003         -1.0000000000000000E+000          1.5000000000000000E+000          1.3500000000000001E+000         -2.4892285524689129E+001         -2.4892285524689129E+001         -2.5494345516017091E+001         -9.8999999999999986E+001         -2.5017224261297429E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          2.5000000000000000E-001          1.4235361040775977E+052         -9.7772175600528958E+033          0.0000000000000000E+000         -9.7772175600528785E+033         -1.6902582132018889E+019          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              30          2.6343798388058692E+005          5.1999109257085774E-001          3.8581876533004160E+000          1.7781339759092444E+002          1.9757044176769375E+002          1.4972649892294552E+000          1.4268959782475652E+000         -8.8312026077388694E-003         -1.0000000000000000E+000          1.5000000000000000E+000          1.3500000000000001E+000         -2.4242855337578188E+001         -2.4242855337578188E+001         -2.4844915328906151E+001         -9.8999999999999986E+001         -2.4367794074186488E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          2.5000000000000000E-001          1.4235312323923776E+052         -9.7774127447415675E+033          0.0000000000000000E+000         -9.7774127447414925E+033         -7.5401850341994775E+019          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              35          6.5631890963168838E+005          5.1997780797318061E-001          3.8581219410350700E+000          1.7781491186024900E+002          1.9757212428916554E+002          1.4972394879622526E+000          1.4268716754983031E+000         -7.9315702665817330E-003         -1.0000000000000000E+000          1.5000000000000000E+000          1.3500000000000001E+000         -2.3000040561582257E+001         -2.3000040561582257E+001         -2.3602100552910219E+001         -9.8999999999999986E+001         -2.3124979298190556E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          2.5000000000000000E-001          1.4235191096201347E+052         -9.7778984614093963E+033          0.0000000000000000E+000         -9.7778984614080774E+033         -1.3188448186267145E+021          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              40          1.6339323747966688E+006          5.1994474950038827E-001          3.8579584148630337E+000          1.7781868031504092E+002          1.9757631146115642E+002          1.4971760275932362E+000          1.4268111976630644E+000         -7.1192329307594769E-003         -1.0000000000000000E+000          1.4999999999999991E+000          1.3500000000000003E+000         -2.0651749084712943E+001         -2.0651749084712943E+001         -2.1253809076040906E+001         -9.8999999999999986E+001         -2.0776687821321243E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          2.5000000000000000E-001          1.4234889414319532E+052         -9.7791072951070133E+033          0.0000000000000000E+000         -9.7791072948129249E+033         -2.9408813592323307E+023          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              45          3.5334764593140874E+006          5.1988050632634597E-001          3.8576406213560333E+000          1.7782600454036441E+002          1.9758444948929358E+002          1.4970526999755582E+000          1.4266936662421486E+000         -9.5614629675700186E-003         -1.0000000000000000E+000          1.4999999999999987E+000          1.3500000000000003E+000         -2.4731537138381800E+001         -2.4731537138381800E+001         -2.5333597129709762E+001         -9.8999999999999986E+001         -2.4856475874990100E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          2.5000000000000000E-001          1.4234303113470027E+052         -9.7817419246441771E+033          0.0000000000000000E+000         -9.7817419246441529E+033         -2.4472184497401291E+019          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
