model_number age period_days binary_separation v_orb_1 v_orb_2 rl_1 rl_2 rl_relative_overflow_1 rl_relative_overflow_2 star_1_mass star_2_mass lg_mtransfer_rate lg_mstar_dot_1 mstar_dot_1 lg_mstar_dot_2 lg_system_mdot_1 lg_system_mdot_2 lg_wind_mdot_1 lg_wind_mdot_2 fixed_xfer_fraction eff_xfer_fraction J_orb Jdot jdot_mb jdot_gr jdot_ml jdot_ls jdot_missing_wind extra_jdot donor_index point_mass_index
5 744160 2.74997666176434 10.9819572867653 116.065935867879 85.9747673095402 3.87942421361629 4.44932410015082 -0.77178145780515 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.76324410892956E+052 -2.11263372201942E+033 -2.01121548991049E+033 -1.0141823210893E+032 0 0 0 0 1 2
10 2595868.2112 2.74991953561254 10.9818051984125 116.066739570712 85.9753626449717 3.87937048774365 4.4492624817748 -0.772695343473424 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.76323189936556E+052 -2.08060916109385E+033 -1.97918682043301E+033 -1.01422340660843E+032 0 0 0 0 1 2
15 7203510.78729318 2.74977767510774 10.9814275151619 116.068735490027 85.976841103724 3.87923706949139 4.44910946395244 -0.772348729134519 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.76320157880946E+052 -2.09270161485535E+033 -1.9912691151675E+033 -1.0143249968785E+032 0 0 0 0 1 2
20 18668799.9622374 2.74941944115334 10.9804737397201 116.073776306492 85.9805750418456 3.87890014416499 4.44872304321262 -0.771346234106399 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.76312500703045E+052 -2.12798873680209E+033 -2.02653062375699E+033 -1.01458113045099E+032 0 0 0 0 1 2
25 47198108.3220345 2.74851403088403 10.9780629569747 116.086520508146 85.9900151912193 3.87804852466658 4.44774631807256 -0.770433055950871 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.76293144777367E+052 -2.16050335634846E+033 -2.05898044335141E+033 -1.01522912997053E+032 0 0 0 0 1 2
30 118188156.899885 2.74622672868926 10.9719715123461 116.1187406288 86.0138819472592 3.87589669533681 4.44527837809766 -0.76945289603746 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.76244227726042E+052 -2.19575209919293E+033 -2.09406525481935E+033 -1.0168684437358E+032 0 0 0 0 1 2
35 294834114.577121 2.74041760743676 10.9564933038531 116.200731997378 86.0746162943541 3.87042895081336 4.43900740432886 -0.767917668851667 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.76119869598629E+052 -2.2516870634201E+033 -2.14958292487222E+033 -1.0210413854788E+032 0 0 0 0 1 2
40 734385783.984543 2.72539255337091 10.9164087313467 116.41387849788 86.2325025910222 3.8562689010961 4.42276719779377 -0.764708819496174 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.75797405178079E+052 -2.37171030335465E+033 -2.26852129788078E+033 -1.03189005473872E+032 0 0 0 0 1 2
45 1490165742.06455 2.697681608621 10.8422863308845 116.811127675953 86.5267612414469 3.83008484049415 4.3927366145265 -0.759088145271856 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.75199556530404E+052 -2.60438079955328E+033 -2.49879644865987E+033 -1.05584350893417E+032 0 0 0 0 1 2
50 2157822244.70961 2.67102776342677 10.7707516709856 117.198390149523 86.8136223329802 3.8048149105101 4.36375445060317 -0.753653481833665 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.74620638905821E+052 -2.84841222536213E+033 -2.74037462811649E+033 -1.08037597245648E+032 0 0 0 0 1 2
